time_ns,rmsd_A
0.000000000000000000e+00,3.833915005719040288e-07
1.000000002981405768e-02,5.404231546253371876e-01
2.000000005962811536e-02,6.151673306795554241e-01
3.000000008944217131e-02,7.054842166879791154e-01
4.000000011925623072e-02,7.390527742313502957e-01
5.000000014907028667e-02,7.133815073244409444e-01
6.000000017888434262e-02,7.325857274641640604e-01
7.000000020869839856e-02,6.535120529748109641e-01
8.000000023851246145e-02,7.399551722190558234e-01
9.000000026832651046e-02,6.845178575864675485e-01
1.000000002981405733e-01,6.665239229977668600e-01
1.100000003279546223e-01,6.853651148609974930e-01
1.200000003577686852e-01,7.167530827953523254e-01
1.300000003875827204e-01,7.928512851032160080e-01
1.400000004173967971e-01,8.656377026285123621e-01
1.500000004472108461e-01,8.275031615131276386e-01
1.600000004770249229e-01,7.520468256937445917e-01
1.700000005068389719e-01,6.716883331927141487e-01
1.800000005366530209e-01,6.754958591394462086e-01
1.900000005664670977e-01,7.157702552517589689e-01
2.000000005962811467e-01,8.417642082975612672e-01
2.100000006260951957e-01,8.382769298067432873e-01
2.200000006559092447e-01,7.862057756431515276e-01
2.300000006857232937e-01,6.769307161214735968e-01
2.400000007155373705e-01,8.206132602102842455e-01
2.500000007453514472e-01,7.832072384478671045e-01
2.600000007751654407e-01,7.803641970299555197e-01
2.700000008049795452e-01,8.282785914140978756e-01
2.800000008347935943e-01,8.475469706289742167e-01
2.900000008646076433e-01,8.788901606237548014e-01
3.000000008944216923e-01,8.106417999682364872e-01
3.100000009242357968e-01,9.287705729225375073e-01
3.200000009540498458e-01,8.510560435707096305e-01
3.300000009838638393e-01,9.155451933067211279e-01
3.400000010136779438e-01,9.803668636482018028e-01
3.500000010434919928e-01,9.411012631405127893e-01
3.600000010733060418e-01,9.596242067263202058e-01
3.700000011031200908e-01,1.037788359164689256e+00
3.800000011329341953e-01,1.057464605605790364e+00
3.900000011627482444e-01,1.003869596914670703e+00
4.000000011925622934e-01,1.035475352243477865e+00
4.100000012223763424e-01,1.105183645681767191e+00
4.200000012521903914e-01,9.290098183256625397e-01
4.300000012820044404e-01,9.215266322058088821e-01
4.400000013118184894e-01,9.644041588516777397e-01
4.500000013416325939e-01,8.227082734740155390e-01
4.600000013714465874e-01,8.951926974000968817e-01
4.700000014012606919e-01,8.212377253999265658e-01
4.800000014310747409e-01,8.596428889271433560e-01
4.900000014608887899e-01,9.191505478073881408e-01
5.000000014907028945e-01,8.754770500183813864e-01
5.100000015205169435e-01,1.032011559958319058e+00
5.200000015503308815e-01,9.084094896630702243e-01
5.300000015801450415e-01,8.687709125412776956e-01
5.400000016099590905e-01,9.662184247691059102e-01
5.500000016397731395e-01,9.306728876401549888e-01
5.600000016695871885e-01,8.714670874862295857e-01
5.700000016994012375e-01,1.021518719757934734e+00
5.800000017292152865e-01,9.686830928470568924e-01
5.900000017590293355e-01,9.267455966593293182e-01
6.000000017888433845e-01,9.629005386943394473e-01
6.100000018186574335e-01,9.448297895118621392e-01
6.200000018484715936e-01,8.918688226830929766e-01
6.300000018782856426e-01,9.300255794145092514e-01
6.400000019080996916e-01,8.684313089584296819e-01
6.500000019379136296e-01,9.920480136173085439e-01
6.600000019677276786e-01,8.787251438108779622e-01
6.700000019975418386e-01,9.731204761830577477e-01
6.800000020273558876e-01,9.062490170675189249e-01
6.900000020571699366e-01,9.676432273182618005e-01
7.000000020869839856e-01,9.445290122173124470e-01
7.100000021167981457e-01,9.901733244156454283e-01
7.200000021466120836e-01,9.226564762430725652e-01
7.300000021764261326e-01,9.234419939876234995e-01
