time_ns,top_dist_A,bot_dist_A,his_area_A2,his_diag1_A,his_diag2_A
5.010000014936842661e+00,8.742437362670898438e+00,2.616387557983398438e+01,2.855471658706665039e+01,7.496842861175537109e+00,7.850534915924072266e+00
5.020000014966656821e+00,8.961864471435546875e+00,2.643496322631835938e+01,2.668198108673095703e+01,7.071215629577636719e+00,7.639767169952392578e+00
5.030000014996470981e+00,9.518426895141601562e+00,2.657541656494140625e+01,2.518334817886352539e+01,6.990196228027343750e+00,7.279674530029296875e+00
5.040000015026285141e+00,9.525279998779296875e+00,2.633039093017578125e+01,2.822911357879638672e+01,7.334555149078369141e+00,7.738396644592285156e+00
5.050000015056099301e+00,9.125158309936523438e+00,2.581085586547851562e+01,2.508668756484985352e+01,7.469582080841064453e+00,6.777433872222900391e+00
5.060000015085913461e+00,8.957462310791015625e+00,2.644118881225585938e+01,3.118424892425537109e+01,8.205431938171386719e+00,7.681005954742431641e+00
5.070000015115726733e+00,8.593072891235351562e+00,2.659965896606445312e+01,2.654708766937255859e+01,7.386277675628662109e+00,7.482612133026123047e+00
5.080000015145540893e+00,8.892742156982421875e+00,2.639299011230468750e+01,2.924291467666625977e+01,7.628176689147949219e+00,7.796749114990234375e+00
5.090000015175355053e+00,8.698894500732421875e+00,2.655791854858398438e+01,2.689568328857421875e+01,7.722947120666503906e+00,7.118862628936767578e+00
5.100000015205169213e+00,8.569753646850585938e+00,2.625753021240234375e+01,2.858380603790283203e+01,7.512086868286132812e+00,7.775911331176757812e+00
5.110000015234983373e+00,8.490773200988769531e+00,2.647480773925781250e+01,2.593689823150634766e+01,6.845439434051513672e+00,7.679009914398193359e+00
5.120000015264797533e+00,8.826711654663085938e+00,2.661766624450683594e+01,2.936513471603393555e+01,7.767165184020996094e+00,7.628792285919189453e+00
5.130000015294611693e+00,7.884972572326660156e+00,2.583315277099609375e+01,2.527308988571166992e+01,6.327557563781738281e+00,8.042505264282226562e+00
5.140000015324425853e+00,8.083194732666015625e+00,2.638368225097656250e+01,2.257550764083862305e+01,6.720595359802246094e+00,7.247540473937988281e+00
5.150000015354240013e+00,8.004363059997558594e+00,2.617250823974609375e+01,3.156531524658203125e+01,7.244001388549804688e+00,8.968168258666992188e+00
5.160000015384054173e+00,8.193891525268554688e+00,2.626696014404296875e+01,2.655113315582275391e+01,6.434321880340576172e+00,8.290130615234375000e+00
5.170000015413868333e+00,8.189472198486328125e+00,2.611994171142578125e+01,2.841434049606323242e+01,7.405849456787109375e+00,7.767069816589355469e+00
5.180000015443680716e+00,8.238725662231445312e+00,2.601088905334472656e+01,2.815648937225341797e+01,7.535758972167968750e+00,7.474973678588867188e+00
5.190000015473494877e+00,7.975338459014892578e+00,2.586320495605468750e+01,2.320773172378540039e+01,6.269441127777099609e+00,7.412710666656494141e+00
5.200000015503309037e+00,8.755796432495117188e+00,2.581419754028320312e+01,2.812775802612304688e+01,7.148395061492919922e+00,8.016213417053222656e+00
5.210000015533123197e+00,8.349421501159667969e+00,2.582056045532226562e+01,2.835373687744140625e+01,7.120040893554687500e+00,8.020099639892578125e+00
5.220000015562937357e+00,8.477104187011718750e+00,2.607254600524902344e+01,3.283228683471679688e+01,7.610433101654052734e+00,8.656742095947265625e+00
5.230000015592751517e+00,8.448209762573242188e+00,2.562485885620117188e+01,3.003629922866821289e+01,7.381320953369140625e+00,8.154680252075195312e+00
5.240000015622565677e+00,8.483476638793945312e+00,2.620915985107421875e+01,3.095016956329345703e+01,7.231893062591552734e+00,8.570607185363769531e+00
5.250000015652379837e+00,8.769685745239257812e+00,2.623855590820312500e+01,2.007628679275512695e+01,5.363540649414062500e+00,7.932903289794921875e+00
5.260000015682193997e+00,8.656993865966796875e+00,2.585314750671386719e+01,2.136704492568969727e+01,5.350158214569091797e+00,8.414752960205078125e+00
5.270000015712008157e+00,9.041082382202148438e+00,2.568110656738281250e+01,1.991093444824218750e+01,4.897082328796386719e+00,8.208534240722656250e+00
5.280000015741821429e+00,8.935520172119140625e+00,2.546041297912597656e+01,2.536746263504028320e+01,5.992565155029296875e+00,8.897623062133789062e+00
