lag_time_ns,msd_A2
0.000000000000000000e+00,0.000000000000000000e+00
1.000000002981416003e-02,4.865851317455270886e-01
2.000000005962832006e-02,5.936741515074637210e-01
3.000000008944248009e-02,6.801489049097172446e-01
4.000000011925664012e-02,7.503515324844660661e-01
5.000000014907080015e-02,8.252259269085864268e-01
6.000000017888407200e-02,8.799596047079862871e-01
7.000000020869823203e-02,9.440861176041601688e-01
8.000000023851239206e-02,1.006524962223461328e+00
9.000000026832655209e-02,1.064157101454568988e+00
1.000000002981407121e-01,1.117177550225031180e+00
1.100000003279548721e-01,1.167329598171546579e+00
1.200000003577690322e-01,1.220333104819329995e+00
1.300000003875831922e-01,1.278288055330191852e+00
1.400000004173973522e-01,1.333900122217321460e+00
1.500000004472115123e-01,1.374205943205196512e+00
1.600000004770256723e-01,1.429678824520804303e+00
1.700000005068380560e-01,1.477932444708094817e+00
1.800000005366522160e-01,1.526058875330959186e+00
1.900000005664663760e-01,1.585656995008407844e+00
2.000000005962805361e-01,1.635496170980711872e+00
2.100000006260946961e-01,1.686216287478223164e+00
2.200000006559088561e-01,1.734629217872705853e+00
2.300000006857230161e-01,1.785028492862217764e+00
2.400000007155371762e-01,1.829402783253597731e+00
2.500000007453513362e-01,1.872743827413485107e+00
2.600000007751654962e-01,1.919680734386592480e+00
2.700000008049787681e-01,1.961539654919199460e+00
2.800000008347929281e-01,2.005560261386145182e+00
2.900000008646070881e-01,2.052252712702389292e+00
3.000000008944212482e-01,2.097572059392972310e+00
3.100000009242354082e-01,2.137014710150268559e+00
3.200000009540495682e-01,2.183406238035257019e+00
3.300000009838637283e-01,2.221225249519054312e+00
3.400000010136778883e-01,2.270583537713582345e+00
3.500000010434920483e-01,2.301159708277409788e+00
3.600000010733062084e-01,2.349531963256633382e+00
3.700000011031194802e-01,2.387545185203844067e+00
3.800000011329336402e-01,2.435428709529459113e+00
3.900000011627478003e-01,2.482928013239064313e+00
4.000000011925619603e-01,2.529544877979323481e+00
4.100000012223761203e-01,2.576638781524076105e+00
4.200000012521902804e-01,2.617877613820918992e+00
4.300000012820044404e-01,2.660768071001769819e+00
4.400000013118186004e-01,2.706640782341254159e+00
4.500000013416327604e-01,2.747273524571090419e+00
4.600000013714469205e-01,2.780750626991197016e+00
4.700000014012601923e-01,2.820590159601275460e+00
