time_ns,mean_induced_D,max_induced_D
0.000000000000000000e+00,1.816359013319015503e-01,5.522649884223937988e-01
1.000000002981405768e-02,1.825815588235855103e-01,4.864121973514556885e-01
2.000000005962811536e-02,1.842287629842758179e-01,5.080991387367248535e-01
3.000000008944217478e-02,1.793667525053024292e-01,5.634931921958923340e-01
4.000000011925623072e-02,1.858210563659667969e-01,5.187988877296447754e-01
5.000000014907028667e-02,1.773751527070999146e-01,5.475108027458190918e-01
6.000000017888434956e-02,1.838287860155105591e-01,5.306453108787536621e-01
7.000000020869839856e-02,1.843242049217224121e-01,5.244686603546142578e-01
8.000000023851246145e-02,1.866164207458496094e-01,6.332637667655944824e-01
9.000000026832652433e-02,1.802388578653335571e-01,5.606379508972167969e-01
1.000000002981405733e-01,1.826862841844558716e-01,5.875660181045532227e-01
1.100000003279546362e-01,1.738956868648529053e-01,5.667163133621215820e-01
1.200000003577686991e-01,1.901692450046539307e-01,5.270101428031921387e-01
1.300000003875827481e-01,1.763976812362670898e-01,7.055251002311706543e-01
1.400000004173967971e-01,1.645466238260269165e-01,5.493078827857971191e-01
1.500000004472108739e-01,1.890508085489273071e-01,5.621605515480041504e-01
1.600000004770249229e-01,1.835270822048187256e-01,5.882933139801025391e-01
1.700000005068389719e-01,1.792152971029281616e-01,6.326665282249450684e-01
1.800000005366530487e-01,1.773621737957000732e-01,5.335371494293212891e-01
1.900000005664670977e-01,1.781628876924514771e-01,6.619042754173278809e-01
2.000000005962811467e-01,1.773310005664825439e-01,5.230988860130310059e-01
2.100000006260952234e-01,1.787320673465728760e-01,5.721678733825683594e-01
2.200000006559092725e-01,1.708099991083145142e-01,5.209995508193969727e-01
2.300000006857233215e-01,1.743396222591400146e-01,5.982734560966491699e-01
2.400000007155373982e-01,1.744486093521118164e-01,6.522092819213867188e-01
2.500000007453514472e-01,1.747607588768005371e-01,5.780251622200012207e-01
2.600000007751654962e-01,1.842832565307617188e-01,5.300609469413757324e-01
2.700000008049795452e-01,1.797525286674499512e-01,5.381739139556884766e-01
2.800000008347935943e-01,1.838403940200805664e-01,6.914092898368835449e-01
2.900000008646076988e-01,1.869998127222061157e-01,5.731128454208374023e-01
3.000000008944217478e-01,1.738367378711700439e-01,5.985842943191528320e-01
3.100000009242357968e-01,1.847201436758041382e-01,6.340203881263732910e-01
3.200000009540498458e-01,1.776186674833297729e-01,5.403311848640441895e-01
3.300000009838638948e-01,1.827112734317779541e-01,6.453176736831665039e-01
3.400000010136779438e-01,1.834744513034820557e-01,5.373207926750183105e-01
3.500000010434919928e-01,1.778669804334640503e-01,5.146378278732299805e-01
3.600000010733060973e-01,1.799408644437789917e-01,5.213937163352966309e-01
3.700000011031201463e-01,1.885774284601211548e-01,5.442635416984558105e-01
3.800000011329341953e-01,1.807355731725692749e-01,5.231036543846130371e-01
3.900000011627482444e-01,1.793502718210220337e-01,5.244796276092529297e-01
4.000000011925622934e-01,1.779848486185073853e-01,5.402285456657409668e-01
4.100000012223763424e-01,1.861859858036041260e-01,4.994038641452789307e-01
4.200000012521904469e-01,1.777577251195907593e-01,4.967374503612518311e-01
4.300000012820044959e-01,1.849653571844100952e-01,5.431380867958068848e-01
4.400000013118185449e-01,1.838908195495605469e-01,5.762570500373840332e-01
4.500000013416325939e-01,1.896339654922485352e-01,5.251467823982238770e-01
4.600000013714466429e-01,1.858521103858947754e-01,5.990498661994934082e-01
4.700000014012606919e-01,1.841577142477035522e-01,5.552502870559692383e-01
4.800000014310747964e-01,1.898756623268127441e-01,5.449241995811462402e-01
4.900000014608888455e-01,1.814992725849151611e-01,4.873802065849304199e-01
5.000000014907028945e-01,1.856765598058700562e-01,5.049820542335510254e-01
5.100000015205169435e-01,1.807134002447128296e-01,5.331283211708068848e-01
5.200000015503309925e-01,1.893550902605056763e-01,5.904910564422607422e-01
5.300000015801450415e-01,1.896788030862808228e-01,4.914259016513824463e-01
5.400000016099590905e-01,1.862776428461074829e-01,5.023151636123657227e-01
5.500000016397731395e-01,1.847405582666397095e-01,5.180538892745971680e-01
5.600000016695871885e-01,1.867398172616958618e-01,7.190845608711242676e-01
5.700000016994012375e-01,1.813321560621261597e-01,5.240703821182250977e-01
5.800000017292153975e-01,1.742357760667800903e-01,5.243754386901855469e-01
5.900000017590294465e-01,1.745432764291763306e-01,5.022348761558532715e-01
6.000000017888434956e-01,1.870549172163009644e-01,5.464341640472412109e-01
6.100000018186575446e-01,1.821466982364654541e-01,5.193238854408264160e-01
6.200000018484715936e-01,1.828189045190811157e-01,4.988312125205993652e-01
6.300000018782856426e-01,1.809894740581512451e-01,5.226463675498962402e-01
6.400000019080996916e-01,1.859633177518844604e-01,6.047092080116271973e-01
6.500000019379137406e-01,1.833117306232452393e-01,5.090616345405578613e-01
6.600000019677277896e-01,1.788509041070938110e-01,5.142999887466430664e-01
6.700000019975418386e-01,1.694207191467285156e-01,5.566134452819824219e-01
6.800000020273558876e-01,1.781215071678161621e-01,6.410640478134155273e-01
6.900000020571699366e-01,1.776425540447235107e-01,5.311810970306396484e-01
7.000000020869839856e-01,1.823859810829162598e-01,5.688188672065734863e-01
7.100000021167981457e-01,1.897836774587631226e-01,5.021570324897766113e-01
7.200000021466121947e-01,1.807023137807846069e-01,5.301571488380432129e-01
7.300000021764262437e-01,1.773083657026290894e-01,4.676478207111358643e-01
7.400000022062402927e-01,1.790732294321060181e-01,5.086963772773742676e-01
7.500000022360543417e-01,1.802312582731246948e-01,5.249006748199462891e-01
7.600000022658683907e-01,1.830254942178726196e-01,5.283422470092773438e-01
7.700000022956824397e-01,1.932159960269927979e-01,5.364534854888916016e-01
7.800000023254964887e-01,1.804274171590805054e-01,5.047666430473327637e-01
7.900000023553105377e-01,1.770807802677154541e-01,4.618110358715057373e-01
8.000000023851245867e-01,1.815446913242340088e-01,5.263868570327758789e-01
8.100000024149386357e-01,1.856214702129364014e-01,6.058473587036132812e-01
8.200000024447526847e-01,1.891311556100845337e-01,5.272709727287292480e-01
8.300000024745667337e-01,1.806722134351730347e-01,4.953051805496215820e-01
8.400000025043808938e-01,1.780486255884170532e-01,5.696655511856079102e-01
8.500000025341949428e-01,1.897360384464263916e-01,5.199818611145019531e-01
8.600000025640089918e-01,1.793119758367538452e-01,5.490135550498962402e-01
8.700000025938230408e-01,1.846000403165817261e-01,5.067327618598937988e-01
8.800000026236370898e-01,1.802089810371398926e-01,5.197474360466003418e-01
8.900000026534511388e-01,1.779893040657043457e-01,5.695160627365112305e-01
9.000000026832651878e-01,1.788905113935470581e-01,5.217325091361999512e-01
9.100000027130792368e-01,1.913804858922958374e-01,5.901710391044616699e-01
9.200000027428932858e-01,1.833265423774719238e-01,4.292660355567932129e-01
9.300000027727073348e-01,1.782301515340805054e-01,6.266319155693054199e-01
9.400000028025213838e-01,1.738172471523284912e-01,4.538829922676086426e-01
9.500000028323354329e-01,1.856378614902496338e-01,5.185754299163818359e-01
9.600000028621495929e-01,1.899037212133407593e-01,5.583470463752746582e-01
9.700000028919636419e-01,1.804939508438110352e-01,5.027904510498046875e-01
9.800000029217776909e-01,1.863243132829666138e-01,6.041796207427978516e-01
9.900000029515917399e-01,1.852564811706542969e-01,5.967884659767150879e-01
1.000000002981405789e+00,1.850117594003677368e-01,5.355282425880432129e-01
1.010000003011219727e+00,1.850653588771820068e-01,6.212803125381469727e-01
1.020000003041033887e+00,1.926511675119400024e-01,5.188009738922119141e-01
1.030000003070848047e+00,1.736364811658859253e-01,4.982285797595977783e-01
1.040000003100661985e+00,1.785583198070526123e-01,6.616358160972595215e-01
1.050000003130476145e+00,1.882657855749130249e-01,5.925870537757873535e-01
1.060000003160290083e+00,1.751829236745834351e-01,5.769845247268676758e-01
1.070000003190104243e+00,1.873391419649124146e-01,5.234655737876892090e-01
1.080000003219918181e+00,1.790167391300201416e-01,5.390995740890502930e-01
1.090000003249732341e+00,1.902673989534378052e-01,6.376557350158691406e-01
1.100000003279546279e+00,1.853348463773727417e-01,6.640558242797851562e-01
1.110000003309360439e+00,1.845175325870513916e-01,4.853277206420898438e-01
1.120000003339174377e+00,1.881348490715026855e-01,7.284137010574340820e-01
1.130000003368988537e+00,1.821334958076477051e-01,5.085478425025939941e-01
1.140000003398802475e+00,1.687623262405395508e-01,4.991328716278076172e-01
1.150000003428616635e+00,1.802913546562194824e-01,5.044359564781188965e-01
1.160000003458430795e+00,1.765789389610290527e-01,5.243315100669860840e-01
1.170000003488244733e+00,1.813146173954010010e-01,5.074968338012695312e-01
1.180000003518058893e+00,1.811817288398742676e-01,4.886312484741210938e-01
1.190000003547872831e+00,1.818525046110153198e-01,5.072091221809387207e-01
