time_ns,n_channel_water,n_ww_hbonds
0.000000000000000000e+00,1.600000000000000000e+01,1.700000000000000000e+01
1.000000002981405768e-02,1.600000000000000000e+01,1.600000000000000000e+01
2.000000005962811536e-02,1.300000000000000000e+01,1.500000000000000000e+01
3.000000008944217478e-02,1.400000000000000000e+01,1.200000000000000000e+01
4.000000011925623072e-02,1.400000000000000000e+01,1.600000000000000000e+01
5.000000014907028667e-02,1.600000000000000000e+01,1.800000000000000000e+01
6.000000017888434956e-02,1.700000000000000000e+01,1.800000000000000000e+01
7.000000020869839856e-02,1.600000000000000000e+01,1.400000000000000000e+01
8.000000023851246145e-02,1.400000000000000000e+01,1.100000000000000000e+01
9.000000026832652433e-02,1.600000000000000000e+01,1.300000000000000000e+01
1.000000002981405733e-01,1.400000000000000000e+01,1.500000000000000000e+01
1.100000003279546362e-01,1.600000000000000000e+01,1.500000000000000000e+01
1.200000003577686991e-01,1.600000000000000000e+01,1.600000000000000000e+01
1.300000003875827481e-01,1.300000000000000000e+01,1.300000000000000000e+01
1.400000004173967971e-01,1.400000000000000000e+01,1.200000000000000000e+01
1.500000004472108739e-01,1.500000000000000000e+01,1.600000000000000000e+01
1.600000004770249229e-01,1.500000000000000000e+01,1.700000000000000000e+01
1.700000005068389719e-01,1.500000000000000000e+01,1.600000000000000000e+01
1.800000005366530487e-01,1.300000000000000000e+01,1.400000000000000000e+01
1.900000005664670977e-01,1.700000000000000000e+01,1.700000000000000000e+01
2.000000005962811467e-01,1.500000000000000000e+01,1.600000000000000000e+01
2.100000006260952234e-01,1.500000000000000000e+01,1.900000000000000000e+01
2.200000006559092725e-01,1.600000000000000000e+01,1.800000000000000000e+01
2.300000006857233215e-01,1.700000000000000000e+01,1.700000000000000000e+01
2.400000007155373982e-01,1.800000000000000000e+01,2.000000000000000000e+01
2.500000007453514472e-01,1.800000000000000000e+01,1.800000000000000000e+01
2.600000007751654962e-01,1.700000000000000000e+01,2.200000000000000000e+01
2.700000008049795452e-01,1.900000000000000000e+01,2.400000000000000000e+01
2.800000008347935943e-01,1.900000000000000000e+01,2.100000000000000000e+01
2.900000008646076988e-01,2.100000000000000000e+01,2.600000000000000000e+01
3.000000008944217478e-01,1.500000000000000000e+01,1.700000000000000000e+01
3.100000009242357968e-01,1.600000000000000000e+01,1.900000000000000000e+01
3.200000009540498458e-01,1.600000000000000000e+01,1.900000000000000000e+01
3.300000009838638948e-01,1.600000000000000000e+01,1.900000000000000000e+01
3.400000010136779438e-01,1.900000000000000000e+01,2.400000000000000000e+01
3.500000010434919928e-01,1.800000000000000000e+01,2.000000000000000000e+01
3.600000010733060973e-01,1.800000000000000000e+01,2.200000000000000000e+01
3.700000011031201463e-01,1.700000000000000000e+01,2.100000000000000000e+01
3.800000011329341953e-01,1.600000000000000000e+01,2.200000000000000000e+01
3.900000011627482444e-01,1.800000000000000000e+01,1.700000000000000000e+01
4.000000011925622934e-01,1.800000000000000000e+01,1.900000000000000000e+01
4.100000012223763424e-01,1.600000000000000000e+01,1.600000000000000000e+01
4.200000012521904469e-01,1.800000000000000000e+01,1.900000000000000000e+01
4.300000012820044959e-01,1.600000000000000000e+01,2.000000000000000000e+01
4.400000013118185449e-01,1.600000000000000000e+01,1.400000000000000000e+01
4.500000013416325939e-01,1.300000000000000000e+01,1.200000000000000000e+01
4.600000013714466429e-01,1.400000000000000000e+01,1.600000000000000000e+01
4.700000014012606919e-01,1.500000000000000000e+01,1.600000000000000000e+01
4.800000014310747964e-01,1.500000000000000000e+01,1.800000000000000000e+01
4.900000014608888455e-01,1.700000000000000000e+01,2.500000000000000000e+01
5.000000014907028945e-01,1.700000000000000000e+01,2.200000000000000000e+01
5.100000015205169435e-01,1.700000000000000000e+01,1.600000000000000000e+01
5.200000015503309925e-01,1.500000000000000000e+01,1.700000000000000000e+01
